==========================================================================================
TRAINING LOG - ATTENTION U-NET 5-FOLD CROSS-VALIDATION
CMR-MULTI Challenge - Task 2: LGE MRI Scar Segmentation
==========================================================================================

MODEL CONFIGURATION:
------------------------------------------------------------------------------------------
Architecture: Attention U-Net (~34M parameters)
Components: 5-level encoder-decoder + 4 Attention Gates on skip connections
Loss Function: Focal Loss (gamma=2.0) with Class Weights [1, 2, 3, 10, 2]
Total Epochs: 250 (50 per fold × 5 folds)
Batch Size: 16
Learning Rate: 1e-4 (fixed base rate)
Optimizer: Adam (weight_decay=1e-5)
LR Scheduler: ReduceLROnPlateau (patience=10, factor=0.5)
Dataset: 5-Fold Cross-Validation (KFold, shuffle=True, random_state=42)
  - Training: ~976 slices per fold
  - Validation: ~244 slices per fold
  - Total: 1,220 slices (4 cardiac views: SAX, 2CH, 4CH, RAS)
Device: Apple Silicon MPS (MacBook Air M4)

BUG FIXES IMPLEMENTED:
------------------------------------------------------------------------------------------
✅ RAE Calculation: Now uses scar (label 3) instead of myocardium (label 1)
✅ Validation Split: K-fold ensures scar representation in ALL validation sets
✅ Division by Zero: Added epsilon=1e-8 to prevent crashes
✅ 5-Class Segmentation: Full dataset compatibility (vs previous 3-class)

==========================================================================================
FOLD 1 - EPOCH-BY-EPOCH METRICS
==========================================================================================
Epoch    Train Loss   Train Dice   Val Loss     Val Dice     Val vPCC     Val RAE      LR          
------------------------------------------------------------------------------------------
1        0.890837     0.301289     0.695421     0.277064     0.420360     1.100698     0.00020000  
2        0.643631     0.467592     0.673808     0.439164     0.447765     1.144784     0.00040000  
3        0.544697     0.515161     0.501750     0.475161     0.554743     3.352572     0.00060000  
4        0.512783     0.536801     0.739052     0.372277     0.548492     3.167727     0.00080000  
5        0.476718     0.552541     1.256721     0.297032     0.449038     6.648818     0.00100000  
6        0.435101     0.591305     0.467155     0.472261     0.560609     5.058232     0.00100000  
7        0.374646     0.641311     0.390022     0.687492     0.518937     2.107294     0.00100000  
8        0.353046     0.643520     0.480195     0.475677     0.500230     1.655926     0.00100000  
9        0.337320     0.668823     0.403156     0.674671     0.634717     1.682296     0.00100000  
10       0.311217     0.684102     0.334764     0.697315     0.584490     2.387620     0.00100000  
11       0.291931     0.690722     0.379666     0.713259     0.639275     2.292390     0.00100000  
12       0.273032     0.708410     0.300372     0.711425     0.685702     1.313815     0.00100000  
13       0.277454     0.699285     0.436816     0.494887     0.628985     0.848525     0.00100000  
14       0.274309     0.703933     0.311489     0.538190     0.607519     2.010821     0.00100000  
15       0.242569     0.731629     0.314477     0.741935     0.635498     1.410074     0.00100000  
16       0.241076     0.731084     0.286800     0.612972     0.640490     2.616078     0.00100000  
17       0.242737     0.733287     0.276760     0.761389     0.616278     2.181754     0.00100000  
18       0.222197     0.743979     0.306882     0.728230     0.747006     1.168281     0.00100000  
19       0.216907     0.745609     0.292811     0.749161     0.677716     1.351173     0.00100000  
20       0.195246     0.762987     0.251464     0.782416     0.748494     0.941089     0.00100000  
21       0.195649     0.769119     0.274014     0.714865     0.768013     0.782619     0.00100000  
22       0.189733     0.762495     0.261837     0.769235     0.757895     1.463773     0.00100000  
23       0.199318     0.761427     0.347059     0.729913     0.677578     1.431067     0.00100000  
24       0.195675     0.756346     0.276398     0.751961     0.691446     2.174797     0.00100000  
25       0.185613     0.770661     0.258889     0.714535     0.747611     1.506769     0.00100000  
26       0.178878     0.767142     0.243147     0.552119     0.767107     1.194073     0.00100000  
27       0.161890     0.785001     0.240094     0.691197     0.815323     0.692724     0.00100000  
28       0.160620     0.779858     0.227775     0.775164     0.795106     1.166091     0.00100000  
29       0.157957     0.785933     0.284475     0.600585     0.689359     2.282408     0.00100000  
30       0.153913     0.789768     0.238574     0.649337     0.806641     1.480422     0.00100000  
31       0.141704     0.802453     0.254764     0.750250     0.782679     1.749529     0.00100000  
32       0.142880     0.795811     0.235069     0.681675     0.811139     1.250053     0.00100000  
33       0.135038     0.799098     0.315129     0.722582     0.856515     0.567183     0.00100000  
34       0.133024     0.807399     0.253214     0.795586     0.838309     0.598206     0.00050000  
35       0.102153     0.827887     0.181945     0.656428     0.865105     1.162989     0.00050000  
36       0.087831     0.842121     0.206014     0.653505     0.894252     0.593933     0.00050000  
37       0.083491     0.843900     0.206891     0.757333     0.882650     0.536639     0.00050000  
38       0.075596     0.854069     0.198777     0.631441     0.873858     0.756476     0.00050000  
39       0.075879     0.853930     0.202097     0.785749     0.866990     0.771912     0.00050000  
40       0.078016     0.851329     0.206964     0.621206     0.881667     0.835569     0.00050000  
41       0.070888     0.859921     0.215666     0.654971     0.882376     0.587683     0.00025000  
42       0.062762     0.870180     0.199750     0.732208     0.902580     0.516054     0.00025000  
43       0.054318     0.878071     0.217525     0.738501     0.902820     0.424703     0.00025000  
44       0.052697     0.882684     0.220928     0.794275     0.906810     0.479664     0.00025000  
45       0.049577     0.885991     0.217375     0.730391     0.913357     0.479095     0.00025000  
46       0.049910     0.886235     0.218877     0.795479     0.906640     0.502611     0.00025000  
47       0.046782     0.893405     0.234631     0.735039     0.895115     0.446484     0.00012500  
48       0.044461     0.896843     0.231446     0.767376     0.899208     0.438963     0.00012500  
49       0.041903     0.899732     0.234956     0.738022     0.909617     0.429203     0.00012500  
50       0.040371     0.901843     0.252903     0.801967     0.900006     0.421298     0.00012500  

==========================================================================================
FOLD 2 - EPOCH-BY-EPOCH METRICS
==========================================================================================
Epoch    Train Loss   Train Dice   Val Loss     Val Dice     Val vPCC     Val RAE      LR          
------------------------------------------------------------------------------------------
1        0.935470     0.353254     1.353712     0.214015     -0.017160    4.057429     0.00020000  
2        0.612841     0.483484     0.631272     0.454358     0.438668     2.404495     0.00040000  
3        0.526596     0.518892     0.647199     0.440930     0.379374     1.509332     0.00060000  
4        0.485535     0.537996     0.441914     0.514640     0.529284     2.168359     0.00080000  
5        0.452463     0.556740     0.574761     0.410475     0.409674     3.212715     0.00100000  
6        0.424726     0.581612     0.403461     0.482244     0.479884     2.287789     0.00100000  
7        0.383873     0.615140     0.377584     0.626309     0.467511     4.646512     0.00100000  
8        0.352125     0.643392     0.364749     0.517463     0.554589     1.360664     0.00100000  
9        0.316595     0.673634     0.315577     0.527965     0.592795     2.633330     0.00100000  
10       0.289726     0.684809     0.322326     0.632099     0.538849     1.366555     0.00100000  
11       0.293806     0.681516     0.378244     0.508971     0.402447     5.085706     0.00100000  
12       0.282128     0.692287     0.329963     0.542743     0.564597     2.448460     0.00100000  
13       0.278433     0.699656     0.359570     0.541841     0.475760     3.268623     0.00100000  
14       0.256281     0.710902     0.289359     0.586048     0.596480     1.573281     0.00100000  
15       0.244557     0.723031     0.299710     0.612596     0.554100     3.368294     0.00100000  
16       0.242748     0.724817     0.340474     0.579073     0.604948     4.389332     0.00100000  
